idPerson,fiscalCode,name,surname,sex,birthDate,birthPlace,phoneNumber,isVaxed,idFamily,idApp,dateLastTest,resultLastTest,dateInfection,areaInfection,familyMembers,appContactId,appContactDate,appName,placeContactId,placeContactDateStart,placeContactDateEnd
20,BNCMNL97H06L750Z,Manuel,Bianchi,M,06/06/1997,Vercelli,3467991360,No,0003,07046301756872629648,,,,,20:27:31:69:96,12:86,2020-09-12T13:23;2020-03-07T00:55,Coronalert;Coronalert,30:34:43,2021-04-14T22:33;2021-04-28T03:57;2021-05-29T08:07,2021-04-15T00:09;2021-04-28T04:13;2021-05-29T10:54
21,LNEVCN02L20B519H,Vincenzo,Leone,M,20/07/1902,Campobasso,3484442776,Yes,0023,04231541716935210712,,,,,21:78:82:89,40,2021-07-13T12:56,CovTracer-EN,14,2021-10-14T13:45,2021-10-14T14:45
22,LNGRNI08T46F023E,Irene,Longo,F,06/12/2008,Massa,3478429268,Yes,0022,04710336643122632531,,,,,9:22,2:24:81,2021-12-15T07:14;2020-02-10T03:31;2020-04-10T11:07,Immuni;Corona-Warn-App;TousAntiCovid,3,2022-01-13T08:36,2022-01-13T10:03
23,MZZGLI61R29H703G,Gioele,Mazza,M,29/10/1961,Salerno,3499448249,No,0048,01234234676050361622,2021-10-27T10:08,Positive,2021-08-29T17:28,,4:6:23:40:60,13:85,2021-07-07T10:35;2020-04-22T18:31,Corona-Warn-App;TousAntiCovid,47,2021-10-05T07:41,2021-10-05T08:57
24,RSSLNE34H41L049M,Elena,Rossetti,F,01/06/1934,Taranto,3417629464,No,0045,05660121227263692848,,,,,24:94,26:63:22:46,2021-02-18T19:39;2022-01-13T11:46;2020-02-10T03:31;2020-07-13T17:23,Corona-Warn-App;CovTracer-EN;Corona-Warn-App;Coronalert,,,
25,FNTMTN29T60D122U,Martina,Fontana,F,20/12/1929,Crotone,3485647055,No,0007,08957342362266748349,,,,,25:52,9:81:93:66:52:57:84,2020-08-28T07:10;2021-08-25T16:18;2020-07-17T04:28;2020-06-21T20:25;2021-04-03T05:39;2022-01-10T00:50;2020-04-08T12:09,CovTracer-EN;Coronalert;Corona-Warn-App;TousAntiCovid;Stopp Corona App;Corona-Warn-App;Corona-Warn-App,,,
26,RSSVTR19D55D086V,Vittoria,Rossi,F,15/04/1919,Cosenza,3471958182,Yes,0000,06836706725675551776,2021-08-04T06:02,Negative,,,26:30:47:50:77:83:87,24:74:30:3,2021-02-18T19:39;2020-09-21T03:36;2020-03-18T05:56;2021-02-19T11:59,Corona-Warn-App;Coronalert;Corona-Warn-App;Immuni,16,2022-01-09T20:49,2022-01-09T22:13
27,BNCGVR32M57G224S,Ginevra,Bianchi,F,17/08/1932,Padova,3437589535,No,0003,04028428016844534088,2021-06-24T10:53,Positive,2021-06-07T11:51,16,20:27:31:69:96,7:55,2021-09-20T06:16;2021-11-12T16:24,Coronalert;CovTracer-EN,31:35:46,2022-01-12T10:56;2021-07-07T12:08;2021-04-13T21:23,2022-01-12T13:34;2021-07-07T14:49;2021-04-13T21:44
28,SRRNMO15M71A182V,Noemi,Serra,F,31/08/2015,Alessandria,3417353594,Yes,0035,05015221442606775444,2020-08-05T17:09,Positive,2020-06-21T22:56,,28,73:91,2021-05-31T07:12;2021-08-18T21:36,Immuni;Corona-Warn-App,48,2020-08-27T22:29,2020-08-28T00:44
29,DNGNNA77M61C573P,Anna,D'Angelo,F,21/08/1977,Cesena,3428730640,Yes,0046,07831969019790005702,2021-10-25T03:17,Positive,2021-09-22T20:41,48,29:81,35,2020-06-06T19:03,Stopp Corona App,,,
30,RSSLEI02S24G702Q,Elia,Rossi,M,24/11/2002,Pisa,3444935562,Yes,0000,08096202264353907194,2021-09-10T05:01,Negative,,,26:30:47:50:77:83:87,11:26:48:53:84:87,2020-07-08T19:03;2020-03-18T05:56;2021-10-21T01:22;2020-06-25T12:49;2020-10-17T11:05;2021-04-25T04:06,Immuni;Corona-Warn-App;Immuni;CovTracer-EN;CovTracer-EN;Stopp Corona App,,,
31,BNCBRC50C52E625N,Beatrice,Bianchi,F,12/03/1950,Livorno,3489677961,No,0003,04215415075827271699,,,,,20:27:31:69:96,51,2020-05-21T07:11,Coronalert,7,2020-12-28T23:32,2020-12-29T01:36
32,MRCDNC61H24L736Z,Domenico,Marchetti,M,24/06/1961,Venezia,3406670044,Yes,0025,00573759008828407139,,,,,2:14:32:63:73,80:98,2021-09-16T13:06;2020-04-13T19:22,CovTracer-EN;Coronalert,,,
33,PLLLNR04S41E507R,Eleonora,Pellegrini,F,01/11/2004,Lecco,3476718880,No,0043,05719763294424225263,2020-02-17T04:35,Negative,,,3:33:70,53:36:10:35:39:81,2020-07-30T14:11;2020-03-10T00:44;2022-01-13T12:21;2020-06-17T05:50;2021-09-25T16:43;2020-08-20T13:24,Stopp Corona App;Stopp Corona App;CovTracer-EN;Corona-Warn-App;Coronalert;Immuni,18:47,2020-04-13T23:30;2021-10-05T07:52,2020-04-13T23:57;2021-10-05T09:11
34,FRRSML01A28A285F,Samuel,Ferrara,M,28/01/1901,Andria,3440739632,Yes,0030,07640284281435216780,2021-06-16T20:22,Negative,,,34:55:76,,,,44,2020-12-25T23:36,2020-12-26T01:48
35,GRDCHL98S52F052G,Chloe,Giordano,F,12/11/1998,Matera,3482800633,No,0018,06184011070538248301,,,,,1:35:66,29:64:33:95,2020-06-06T19:03;2020-09-30T16:05;2020-06-17T05:50;2021-08-13T20:59,Stopp Corona App;Corona-Warn-App;Corona-Warn-App;TousAntiCovid,29,2020-07-24T03:45,2020-07-24T06:10
36,BNCMGH78A57A662W,Margherita,Bianco,F,17/01/1978,Bari,3433577231,Yes,0033,04966823879523769279,,,,,10:36:39:71,33:41:52:97,2020-03-10T00:44;2020-09-11T15:55;2021-06-22T13:30;2020-10-17T07:32,Stopp Corona App;Corona-Warn-App;Corona-Warn-App;Stopp Corona App,43,2021-05-29T07:58,2021-05-29T10:36
37,BRBMRT07C58D548C,Marta,Barbieri,F,18/03/2007,Ferrara,3407049028,Yes,0016,08201820578678026719,2021-01-24T08:52,Positive,2020-12-24T09:07,27,37:45:58,,,,,,
38,RCCNEE59H28H282W,Enea,Ricci,M,28/06/1959,Rieti,3424777706,No,0010,03701538520156699159,2020-04-18T17:48,Positive,2020-03-11T07:40,9,38:42:57,12,2021-01-12T13:10,Immuni,3:44,2022-01-13T08:29;2020-12-25T23:28,2022-01-13T09:56;2020-12-26T00:36
39,BNCBNC65R46A182X,Bianca,Bianco,F,06/10/1965,Alessandria,3492369401,No,0033,08981555753592758240,,,,,10:36:39:71,3:10:80:33:49:75:79:89,2021-08-19T10:36;2020-05-11T05:15;2020-03-25T08:54;2021-09-25T16:43;2021-03-15T04:40;2021-04-22T13:57;2020-08-24T16:21;2020-08-24T08:28,Stopp Corona App;CovTracer-EN;Stopp Corona App;Coronalert;Stopp Corona App;Immuni;Immuni;Coronalert,17:35,2021-06-02T00:24;2021-07-07T12:10,2021-06-02T01:56;2021-07-07T13:39
40,MZZDGI30C14F052A,Diego,Mazza,M,14/03/1930,Matera,3409432931,Yes,0048,07987941310354921844,2021-05-04T05:07,Negative,,,4:6:23:40:60,16:21:71:42:88:92,2020-08-20T13:51;2021-07-13T12:56;2021-04-19T21:44;2021-04-03T06:03;2020-11-06T03:42;2021-02-25T13:36,CovTracer-EN;CovTracer-EN;Coronalert;Immuni;TousAntiCovid;Coronalert,35,2021-07-07T12:07,2021-07-07T14:57
41,GTTGLI30T43E897R,Giulia,Gatti,F,03/12/1930,Mantova,3445445985,Yes,0028,08452281922692175474,,,,,41:85,6:13:36:46:77:60:78,2020-04-18T13:09;2020-04-08T15:15;2020-09-11T15:55;2020-06-06T09:28;2021-06-09T00:36;2020-08-26T11:01;2021-06-29T21:01,TousAntiCovid;Corona-Warn-App;Corona-Warn-App;CovTracer-EN;Immuni;Corona-Warn-App;Immuni,46,2021-04-13T21:13,2021-04-13T21:53
42,RCCLNZ26L09A479O,Lorenzo,Ricci,M,09/07/1926,Asti,3476438172,Yes,0010,02538625520995447024,2020-12-16T05:38,Negative,,,38:42:57,40:87:95,2021-04-03T06:03;2020-07-24T01:31;2021-04-22T21:44,Immuni;Coronalert;TousAntiCovid,,,
43,CLMFNC20E54F952V,Francesca,Colombo,F,14/05/2020,Novara,3452659911,Yes,0020,02868323542250334866,2022-01-07T18:28,Negative,,,43:59,75:73,2021-02-09T06:45;2021-03-27T03:35,TousAntiCovid;Stopp Corona App,3:24,2022-01-13T08:37;2021-06-23T20:14,2022-01-13T08:49;2021-06-23T20:25
44,RZZRNI27R54A944N,Irene,Rizzi,F,14/10/1927,Bologna,3451658004,No,0049,04478378116945133733,2021-07-08T22:12,Negative,,,44,5:55:92:49,2020-06-15T10:55;2020-07-18T11:08;2021-11-05T10:50;2020-06-14T08:48,TousAntiCovid;TousAntiCovid;Coronalert;Immuni,36,2021-04-27T19:50,2021-04-27T22:32
45,BRBNTA78R62G482M,Anita,Barbieri,F,22/10/1978,Pescara,3475544714,Yes,0016,00428323535836963834,2021-09-10T11:05,Positive,2021-08-20T10:14,46,37:45:58,11:71:60,2020-10-11T16:06;2021-08-25T14:07;2021-04-01T05:28,Corona-Warn-App;Corona-Warn-App;Corona-Warn-App,,,
46,TSTGVR34C50H620W,Ginevra,Testa,F,10/03/1934,Rovigo,3443772557,No,0041,02325943113110391592,2021-04-17T09:34,Negative,,,46:56,41:24,2020-06-06T09:28;2020-07-13T17:23,CovTracer-EN;Coronalert,2:15,2020-03-28T07:41;2021-05-29T04:04,2020-03-28T08:52;2021-05-29T06:38
47,RSSSML75A11F257L,Samuel,Rossi,M,11/01/1975,Modena,3446399733,No,0000,06866326194139783736,2020-07-19T17:10,Positive,2020-07-18T18:02,45,26:30:47:50:77:83:87,91:69:97:76:78,2021-06-25T04:40;2020-11-19T16:22;2021-06-13T06:28;2021-05-27T07:23;2020-06-12T05:58,Corona-Warn-App;CovTracer-EN;CovTracer-EN;TousAntiCovid;CovTracer-EN,,,
48,CNTCHR33P42L117P,Chiara,Conte,F,02/09/1933,Terni,3494062613,No,0034,03372990116609432554,,,,,48:74:75,30:55:57:66,2021-10-21T01:22;2020-11-16T05:12;2021-07-29T02:28;2021-03-19T18:57,Immuni;TousAntiCovid;CovTracer-EN;Immuni,,,
49,CNTLMI11L16D612K,Liam,Conti,M,16/07/2011,Firenze,3402855015,No,0008,02154839951906948977,,,,,49,84:39:44,2021-09-25T12:28;2021-03-15T04:40;2020-06-14T08:48,Coronalert;Stopp Corona App;Immuni,31,2022-01-12T10:48,2022-01-12T12:04
50,RSSGLI35S05A479A,Giulio,Rossi,M,05/11/1935,Asti,3487627917,No,0000,07656245457790180757,2021-07-26T00:08,Positive,2021-07-14T02:21,,26:30:47:50:77:83:87,58:77:17:56,2021-11-12T13:35;2021-07-01T00:12;2020-06-17T13:38;2020-06-09T21:21,Immuni;TousAntiCovid;Immuni;CovTracer-EN,,,
51,MRNMSS70L67G479C,Melissa,Mariani,F,27/07/1970,Pesaro,3414402650,No,0029,01156549525243914919,,,,,51,31:85:70:61,2020-05-21T07:11;2020-05-09T21:41;2021-05-17T16:44;2021-07-22T21:45,Coronalert;Coronalert;TousAntiCovid;Immuni,19,2021-12-08T16:23,2021-12-08T16:51
52,FNTSRA75A64I754N,Sara,Fontana,F,24/01/1975,Siracusa,3405055157,No,0007,01250077241487152160,,,,,25:52,36:60:25,2021-06-22T13:30;2021-04-19T13:23;2021-04-03T05:39,Corona-Warn-App;TousAntiCovid;Stopp Corona App,1,2020-08-01T14:27,2020-08-01T14:54
53,RMNRNI44L42C342Z,Irene,Romano,F,02/07/1944,Enna,3484204867,No,0004,00398931676593561827,2020-07-24T14:56,Negative,,,53:72:79:97,33:60:30:66,2020-07-30T14:11;2020-07-11T00:04;2020-06-25T12:49;2020-02-01T23:20,Stopp Corona App;Corona-Warn-App;CovTracer-EN;Corona-Warn-App,15,2021-05-29T03:48,2021-05-29T06:46
54,BRNLNE28H63D612J,Elena,Bernardi,F,23/06/1928,Firenze,3438848097,Yes,0047,03328517040113800367,2021-04-23T04:25,Negative,,,54:95,14:61:7,2020-06-14T01:15;2021-05-09T02:28;2022-01-15T06:24,CovTracer-EN;Corona-Warn-App;Corona-Warn-App,,,
55,FRRBNC04L49C352K,Bianca,Ferrara,F,09/07/2004,Catanzaro,3448015839,No,0030,05510560480519437207,2021-10-12T19:00,Positive,2021-10-11T20:07,31,34:55:76,8:27:44:48:0,2021-08-24T15:32;2021-11-12T16:24;2020-07-18T11:08;2020-11-16T05:12;2020-10-19T21:10,Stopp Corona App;CovTracer-EN;TousAntiCovid;TousAntiCovid;Corona-Warn-App,,,
56,TSTNCL88R45E715G,Nicole,Testa,F,05/10/1988,Lucca,3432059350,Yes,0041,01554406864306810299,2020-11-17T22:39,Positive,2020-10-30T18:03,,46:56,94:50:97:77,2020-04-02T00:17;2020-06-09T21:21;2021-05-22T10:43;2020-12-04T12:38,Corona-Warn-App;CovTracer-EN;Corona-Warn-App;Corona-Warn-App,36,2021-04-27T20:14,2021-04-27T21:43
57,RCCDNL36C12A182I,Daniele,Ricci,M,12/03/1936,Alessandria,3492298271,No,0010,07273661397172473596,2020-07-03T02:46,Positive,2020-06-18T08:15,46,38:42:57,48:25:3:86:87,2021-07-29T02:28;2022-01-10T00:50;2020-11-18T07:59;2020-08-12T20:24;2020-03-30T03:06,CovTracer-EN;Corona-Warn-App;TousAntiCovid;Coronalert;Coronalert,40,2020-09-08T10:27,2020-09-08T10:56
58,BRBCHL18T54E281W,Chloe,Barbieri,F,14/12/1918,Iglesias,3468232078,No,0016,03546556294084615833,2020-03-14T16:12,Negative,,,37:45:58,50:10:1:95,2021-11-12T13:35;2020-10-02T16:31;2020-02-27T15:38;2021-09-08T21:31,Immuni;TousAntiCovid;Immuni;Corona-Warn-App,26,2021-04-20T15:58,2021-04-20T16:52
59,CLMGRL86E02H294Y,Gabriele,Colombo,M,02/05/1986,Rimini,3472196012,Yes,0020,06483773198920535104,2020-06-10T01:36,Positive,2020-05-27T03:17,,43:59,13:61,2020-08-01T03:18;2021-09-25T23:40,Immuni;Immuni,12,2021-09-15T18:12,2021-09-15T19:01
60,MZZRFL05S16C351Z,Raffaele,Mazza,M,16/11/2005,Catania,3415266895,Yes,0048,07977084161633067182,2021-08-14T03:09,Positive,2021-07-19T21:12,32,4:6:23:40:60,5:52:53:45:15:41:64:71,2020-03-08T05:39;2021-04-19T13:23;2020-07-11T00:04;2021-04-01T05:28;2021-02-05T17:14;2020-08-26T11:01;2020-09-05T22:31;2021-10-04T05:00,Coronalert;TousAntiCovid;Corona-Warn-App;Corona-Warn-App;Coronalert;Corona-Warn-App;TousAntiCovid;Corona-Warn-App,6,2020-06-22T12:12,2020-06-22T13:29
61,MRNLEI58L18G015T,Elia,Marino,M,18/07/1958,Olbia,3413428900,No,0014,05701383256222210955,2021-07-02T12:25,Positive,2021-06-26T17:14,,61:67,54:59:51:63,2021-05-09T02:28;2021-09-25T23:40;2021-07-22T21:45;2020-06-11T04:22,Corona-Warn-App;Immuni;Immuni;Coronalert,,,
62,MRTLSN84A05E897P,Alessandro,Moretti,M,05/01/1984,Mantova,3450266829,Yes,0013,06925329748135141136,,,,,62,6:0:80,2020-12-24T15:48;2021-07-24T22:01;2020-10-02T12:26,Coronalert;Immuni;Stopp Corona App,21:39,2021-08-08T10:41;2021-08-07T18:07,2021-08-08T11:12;2021-08-07T19:57
63,MRCRRA14L65G337V,Aurora,Marchetti,F,25/07/1914,Parma,3423285584,No,0025,02794931184714396501,2020-11-23T16:02,Negative,,,2:14:32:63:73,24:61,2022-01-13T11:46;2020-06-11T04:22,CovTracer-EN;Coronalert,47,2021-10-05T07:54,2021-10-05T08:25
64,FRRLGU71C21A285F,Luigi,Ferraro,M,21/03/1971,Andria,3498360515,No,0042,01668948710747228770,2021-02-02T11:58,Positive,2021-01-25T16:59,5,64:68:86,35:60:77:69:77,2020-09-30T16:05;2020-09-05T22:31;2021-06-14T05:37;2020-09-16T09:33;2020-12-30T20:19,Corona-Warn-App;TousAntiCovid;Stopp Corona App;TousAntiCovid;CovTracer-EN,2,2020-03-28T07:52,2020-03-28T10:27
65,DLCSML05D19F052R,Samuel,De Luca,M,19/04/2005,Matera,3451544124,No,0012,08674356893486078434,2021-11-21T06:24,Negative,,,65,1,2020-08-18T16:23,Stopp Corona App,,,
66,GRDDLA18D42L682F,Adele,Giordano,F,02/04/1918,Varese,3461100081,No,0018,01478628796557836939,,,,,1:35:66,17:25:48:90:53:75:70,2020-09-21T05:05;2020-06-21T20:25;2021-03-19T18:57;2021-11-11T20:01;2020-02-01T23:20;2021-11-04T03:39;2021-10-09T06:53,Corona-Warn-App;TousAntiCovid;Immuni;Immuni;Corona-Warn-App;Coronalert;Coronalert,20,2020-02-14T12:13,2020-02-14T13:06
67,MRNJCP98E18L483V,Jacopo,Marino,M,18/05/1998,Udine,3423740608,Yes,0014,07337336589080105096,2020-05-07T04:53,Negative,,,61:67,79:81:68,2020-11-20T10:38;2020-12-16T14:58;2021-03-17T08:25,Corona-Warn-App;Corona-Warn-App;Corona-Warn-App,,,
68,FRRSBL20C50F205C,Isabel,Ferraro,F,10/03/2020,Milano,3475695023,No,0042,08939173239108796405,,,,,64:68:86,67:85:95:95,2021-03-17T08:25;2021-01-29T11:41;2020-05-16T12:44;2021-03-08T08:15,Corona-Warn-App;Coronalert;TousAntiCovid;Stopp Corona App,40:49,2020-09-08T10:43;2021-09-10T06:28,2020-09-08T12:14;2021-09-10T07:49
69,BNCZRR06M58L219Z,Azzurra,Bianchi,F,18/08/1906,Torino,3466223009,Yes,0003,00176768687557941076,2020-08-17T12:31,Negative,,,20:27:31:69:96,47:71:64,2020-11-19T16:22;2020-10-05T02:01;2020-09-16T09:33,CovTracer-EN;TousAntiCovid;TousAntiCovid,,,
70,PLLBRC84D44C342M,Beatrice,Pellegrini,F,04/04/1984,Enna,3440467093,No,0043,08596195943433321456,2020-05-02T14:29,Positive,2020-03-16T06:39,,3:33:70,51:85:66,2021-05-17T16:44;2020-11-03T04:14;2021-10-09T06:53,TousAntiCovid;Corona-Warn-App;Coronalert,6,2020-06-22T12:12,2020-06-22T12:30
71,BNCGIO80E59E335I,Gioia,Bianco,F,19/05/1980,Isernia,3431682621,Yes,0033,03847623803390234209,2021-10-13T15:37,Negative,,,10:36:39:71,40:45:69:60:83:85:88,2021-04-19T21:44;2021-08-25T14:07;2020-10-05T02:01;2021-10-04T05:00;2020-04-16T02:50;2020-05-16T10:00;2021-12-27T22:26,Coronalert;Corona-Warn-App;TousAntiCovid;Corona-Warn-App;Immuni;Coronalert;Stopp Corona App,24,2021-06-23T20:30,2021-06-23T22:52
72,RMNCLL35P56F979Q,Camilla,Romano,F,16/09/1935,Nuoro,3425287581,No,0004,05879752733497491709,2020-06-09T05:33,Negative,,,53:72:79:97,91,2021-09-17T03:37,CovTracer-EN,,,
73,MRCRNN14B42E098G,Arianna,Marchetti,F,02/02/1914,Gorizia,3424294747,Yes,0025,03143379281806312829,2022-01-06T12:44,Negative,,,2:14:32:63:73,28:43:76,2021-05-31T07:12;2021-03-27T03:35;2020-05-20T06:27,Immuni;Stopp Corona App;CovTracer-EN,15,2021-05-29T03:49,2021-05-29T06:00
74,CNTFNC31P27G273K,Francesco,Conte,M,27/09/1931,Palermo,3472384040,No,0034,05300579322418496698,2021-10-04T23:10,Positive,2021-08-23T19:58,,48:74:75,26,2020-09-21T03:36,Coronalert,18,2020-04-13T23:23,2020-04-14T02:22
75,CNTTMS48E14C352M,Thomas,Conte,M,14/05/1948,Catanzaro,3481050723,Yes,0034,06685299675623639946,,,,,48:74:75,43:66:95:79:39,2021-02-09T06:45;2021-11-04T03:39;2021-10-07T05:19;2020-12-28T18:12;2021-04-22T13:57,TousAntiCovid;Coronalert;Immuni;Stopp Corona App;Immuni,45,2020-12-05T05:36,2020-12-05T07:47
76,FRRNNA07C65G942J,Anna,Ferrara,F,25/03/2007,Potenza,3449726721,No,0030,00159804224427471494,2020-04-09T17:43,Positive,2020-02-21T19:33,38,34:55:76,73:95:47,2020-05-20T06:27;2020-07-31T12:55;2021-05-27T07:23,CovTracer-EN;Coronalert;TousAntiCovid,18,2020-04-13T23:12,2020-04-13T23:45
77,RSSCHR68A51H501T,Chiara,Rossi,F,11/01/1968,Roma,3480655185,No,0000,06012495270377339540,2020-08-28T00:13,Positive,2020-08-11T23:06,,26:30:47:50:77:83:87,8:41:50:64:56:64,2020-12-23T08:19;2021-06-09T00:36;2021-07-01T00:12;2021-06-14T05:37;2020-12-04T12:38;2020-12-30T20:19,CovTracer-EN;Immuni;TousAntiCovid;Stopp Corona App;Corona-Warn-App;CovTracer-EN,10,2020-11-09T12:21,2020-11-09T12:49
78,LNEDLA61S65I726S,Adele,Leone,F,25/11/1961,Siena,3485824947,Yes,0023,00175161902351935350,2021-09-05T19:02,Positive,2021-07-18T07:50,24,21:78:82:89,41:47,2021-06-29T21:01;2020-06-12T05:58,Immuni;CovTracer-EN,,,
