,fiscalCode,name,surname,sex,birthDate,birthPlace,phoneNumber,isVaxed,idFamily,idApp
28,GTTSAI43A55D810A,Asia,Gatti,F,15-01-1943,Frosinone,3429587740,No,0028,05565779316684865372
29,MNCCLT10D61A271I,Carlotta,Mancini,F,21-04-1910,Ancona,3492189684,No,0021,01102307452350093521
30,GLLGIO85M58H501Z,Gioia,Galli,F,18-08-1985,Roma,3492029231,Yes,0027,07158521819529229170
31,MRNLGU74B09A285N,Luigi,Mariani,M,09-02-1974,Andria,3462915878,No,0029,05687825382352864952
32,MRLMTT54H22C632U,Matteo,Morelli,M,22-06-1954,Chieti,3460248244,Yes,0039,06505153852762238281
33,GRDGLI95B50D810J,Giulia,Giordano,F,10-02-1995,Frosinone,3497215651,No,0018,03267554070450436120
34,FRNNTA87R62D086T,Anita,Farina,F,22-10-1987,Cosenza,3465678630,Yes,0036,07851808609277390220
35,FRRGRG09C06B832M,Giorgio,Ferraro,M,06-03-2009,Carrara,3411563213,No,0042,06853749400581545220
36,GLLCLT07P69F704U,Carlotta,Gallo,F,29-09-1907,Monza,3436018670,No,0005,05484438341984315029
37,CRSSAI82A55D704A,Asia,Caruso,F,15-01-1982,Forlì,3426041137,Yes,0038,07374518594042972951
38,FRRLCA30T60I754R,Alice,Ferrari,F,20-12-1930,Siracusa,3438852144,Yes,0001,07253050890854648391
39,RZZGVR64A59C351T,Ginevra,Rizzi,F,19-01-1964,Catania,3468794255,Yes,0049,08426636431782703528
40,LNGNNA57A50F158R,Anna,Longo,F,10-01-1957,Messina,3487740590,Yes,0022,06534304211302747492
41,PLLGLI06B21E648J,Gioele,Pellegrini,M,21-02-2006,Lodi,3462648420,No,0043,00910802341538426335
42,RMNVLI47P45A669V,Viola,Romano,F,05-09-1947,Barletta,3488648301,Yes,0004,03786441163560838558
43,FRRVTR16L41A794J,Vittoria,Ferraro,F,01-07-1916,Bergamo,3492148083,No,0042,03261247747145109182
44,SPSZRR02P52G702D,Azzurra,Esposito,F,12-09-2002,Pisa,3428379292,Yes,0009,01235171251692212568
45,RSSJCP68C20A662U,Jacopo,Rossetti,M,20-03-1968,Bari,3448880062,No,0045,08231995712845667907
46,TSTNEE68T18D548M,Enea,Testa,M,18-12-1968,Ferrara,3460903831,Yes,0041,06744909601469761003
47,CSSMRT06H64C933Q,Marta,Cassano,F,24-06-1906,Como,3489519327,Yes,0019,06472499919991903307
48,MZZMBR37A45F979Z,Ambra,Mazza,F,05-01-1937,Nuoro,3444920135,No,0048,08947019594537377680
49,MRTNCL01A65H501Q,Nicole,Martinelli,F,25-01-1901,Roma,3425511687,No,0024,02670668074149407094
50,MRTGDI43B59G015Z,Giada,Martini,F,19-02-1943,Olbia,3470729294,No,0026,04062366863232973855
51,CRSRFL86M12F952E,Raffaele,Caruso,M,12-08-1986,Novara,3402864981,No,0038,08072130692152451286
52,MZZMRA88A48E472G,Maria,Mazza,F,08-01-1988,Latina,3463116957,No,0048,07485023514790873078
53,DLCRCR38S21F979P,Riccardo,De Luca,M,21-11-1938,Nuoro,3405385195,No,0012,08404426507833005166
54,RSSCHR88L52E463L,Chiara,Rossi,F,12-07-1988,La Spezia,3489101823,No,0000,01884493734340427422
55,MRNMRT41E43E472T,Marta,Marino,F,03-05-1941,Latina,3423250718,Yes,0014,01141781922990398016
56,BRNRNI74A65F979V,Irene,Bernardi,F,25-01-1974,Nuoro,3400682493,No,0047,03242826508248668882
57,MRLLVC16A51G713B,Ludovica,Morelli,F,11-01-1916,Pistoia,3482169985,No,0039,04963411207647103830
58,GNTBDT99R69D548R,Benedetta,Gentile,F,29-10-1999,Ferrara,3419493059,No,0037,01681484968431548917
59,FRRSBL11T70G999R,Isabel,Ferrari,F,30-12-2011,Prato,3467570159,Yes,0001,00068186571952967555
60,RSSGRL53E15A182L,Gabriel,Russo,M,15-05-1953,Alessandria,3457227203,No,0002,07375041496324438511
61,DNGPTR04L17A944M,Pietro,D'Angelo,M,17-07-1904,Bologna,3460235811,Yes,0046,01225784893201011041
62,MRTVTR51L54A952I,Vittoria,Moretti,F,14-07-1951,Bolzano,3489476733,No,0013,01591232948409782976
63,FRRMIA13D49E202O,Mia,Ferrari,F,09-04-1913,Grosseto,3494744844,No,0001,02246964137490905175
64,RSSLCU63C26I726A,Luca,Russo,M,26-03-1963,Siena,3438259943,No,0002,00454661640136948901
65,MZZGCM97H02F023Y,Giacomo,Mazza,M,02-06-1997,Massa,3415307142,No,0048,05237648757110412061
66,GNTRCR94R19D548T,Riccardo,Gentile,M,19-10-1994,Ferrara,3448431067,Yes,0037,03755475290225228650
67,FRRGRT07H47D704Q,Greta,Ferrari,F,07-06-2007,Forlì,3489336780,Yes,0001,05356310014391858361
68,SNTMGH79D51C933O,Margherita,Santoro,F,11-04-1979,Como,3499286624,Yes,0031,02638641604680331193
69,LNGDLA05R45F205P,Adele,Longo,F,05-10-1905,Milano,3423397009,No,0022,07437287052807335996
70,MZZVCN82S16D612W,Vincenzo,Mazza,M,16-11-1982,Firenze,3444830129,Yes,0048,04536076319137220739
71,GLLBNC16S51D205T,Bianca,Galli,F,11-11-2016,Cuneo,3488602146,Yes,0027,00829533418493555042
72,SNTGDI07A42A944I,Giada,Santoro,F,02-01-2007,Bologna,3411053787,Yes,0031,03825332775143635715
73,RMNMNL11S16E715R,Emanuele,Romano,M,16-11-2011,Lucca,3467086718,Yes,0004,08086837016113123810
74,BNCMRC05C28F257A,Marco,Bianco,M,28-03-2005,Modena,3499379378,Yes,0033,08980768608002019843
75,CRSGRL85T17G337S,Gabriele,Caruso,M,17-12-1985,Parma,3479180822,Yes,0038,02157498727752302415
76,MRCNCL95H57D548R,Nicole,Marchetti,F,17-06-1995,Ferrara,3492527006,No,0025,03251150582418911532
77,BRNGAI40L71E281L,Gaia,Bernardi,F,31-07-1940,Iglesias,3469690061,No,0047,08229493901000486886
78,RMNGRL31T16E897W,Gabriel,Romano,M,16-12-1931,Mantova,3402033280,No,0004,03472572464166359384
79,CSSNCL18P17F023E,Nicolo',Cassano,M,17-09-1918,Massa,3460231918,Yes,0019,07244726154437940240
80,GTTMME07L57A326K,Emma,Gatti,F,17-07-2007,Aosta,3444386188,Yes,0028,06730307088103564211
81,GTTFNC50E56G482P,Francesca,Gatti,F,16-05-1950,Pescara,3472167400,No,0028,04473665354392699048
82,RCCBRC08R53I452E,Beatrice,Ricci,F,13-10-1908,Sassari,3432410111,No,0010,06250940837285275249
83,RSSLGU34M12C933W,Luigi,Rossi,M,12-08-1934,Como,3440652171,Yes,0000,02642486098657643167
84,BNCTMS87E28L500Y,Tommaso,Bianchi,M,28-05-1987,Urbino,3461926082,No,0003,08087122102119698297
85,FRRLCA02R47C351W,Alice,Ferri,F,07-10-2002,Catania,3416515937,Yes,0040,00613964803108667114
86,SRRSVT75S21F952A,Salvatore,Serra,M,21-11-1975,Novara,3413398770,No,0035,05747547008343565226
87,GRDNTN23P10D205J,Antonio,Giordano,M,10-09-1923,Cuneo,3483665831,No,0018,04015884264227515254
88,CNTMTT99B12A271V,Matteo,Conti,M,12-02-1999,Ancona,3473179091,No,0008,01858003090520205675
89,MRLRNN16L43D086H,Arianna,Morelli,F,03-07-1916,Cosenza,3450895558,No,0039,03970000928746100172
90,RCCMLY13R71L483E,Emily,Ricci,F,31-10-2013,Udine,3421912511,Yes,0010,06807358210813292749
91,MRTGRL55C24I754R,Gabriel,Martinelli,M,24-03-1955,Siracusa,3428130695,Yes,0024,01133206592712631952
92,GTTGLI88E13D542F,Gioele,Gatti,M,13-05-1988,Fermo,3446969445,No,0028,02199629108446552864
93,LMBCHR21H58A952A,Chiara,Lombardi,F,18-06-1921,Bolzano,3426504186,No,0017,07025254370882396300
94,CRSVLI39L68A783O,Viola,Caruso,F,28-07-1939,Benevento,3496884521,Yes,0038,05826684257799591707
95,TSTNMO38A65F839S,Noemi,Testa,F,25-01-1938,Napoli,3408956644,No,0041,05462027853053689674
96,CSTSVT05L26D542G,Salvatore,Costa,M,26-07-2005,Fermo,3489707315,Yes,0006,08824076306317871515
97,RCCPTR71R14G942D,Pietro,Ricci,M,14-10-1971,Potenza,3471441753,Yes,0010,07081481171970738676
98,CLMFPP56S14F704Z,Filippo,Colombo,M,14-11-1956,Monza,3460545757,No,0020,07861212404232151284
99,RSSRCR62D27D233I,Riccardo,Russo,M,27-04-1962,Cusio,3468429427,No,0002,07345355594139242424
